"effect_size_id","cat","outcome","exposure","k","pooled_r","cilb95","ciub95","n_pooled","i2","Value","Statistical.Test"
"59900_001","physical health","Body composition","Video games: General",21,0.056,0.008,0.104,31189,93.9,-999,"-999"
"59900_002","physical health","Body composition","Video games: General",8,0.061,-0.052,0.174,10777,96.6,0.01,"Correlation"
"59900_003","physical health","Body composition","Video games: General",13,0.093,0.03,0.157,20004,94.7,0.09,"Correlation"
"39489_017","physical health","Body composition","Video games: Physically active",10,-0.116,-0.18,-0.052,1233,16,-0.234,"Standardised mean difference"
"48050_001","physical health","Body composition","Video games: Physically active",19,-0.121,-0.254,0.012,1347,86.8,-0.191,"Standardised mean difference"
"59588_003","physical health","Body composition: BMI","Intervention: To promote health",13,-0.002,-0.043,0.038,4780,39.4,-999,"Mean difference"
"60934_001","physical health","Body composition: BMI","Screen use: General",11,0,-0.008,0.007,61978,0,0.703,"Weighted mean difference"
"59588_004","physical health","Body composition: BMI z-score","Intervention: To promote health",11,-0.039,-0.199,0.121,3339,96,-0.02,"Mean difference"
"59588_005","physical health","Body composition: BMI z-score","Intervention: To promote health",3,-0.078,-0.157,0.001,1398,45.3,-0.1,"Mean difference"
"59588_007","physical health","Body composition: BMI z-score","Intervention: To promote health",4,-0.04,-0.101,0.021,1567,23.7,-0.24,"Mean difference"
"54366_001","physical health","Body composition: BMI z-score","Screen use: General (meeting guidelines)",4,0.072,-0.094,0.237,1275,85.6,0.07,"Fisher's z"
"59588_008","physical health","Body composition: Body fat percentage","Intervention: To promote health",4,-0.075,-0.167,0.017,1111,37.7,-0.85,"Mean difference"
"55958_001","physical health","Body composition: Body weight","Intervention: To promote healthy weight (obesity prevention)",5,-0.033,-0.155,0.089,1839,83.4,-999,"Pooled mean effect size"
"59588_006","physical health","Body composition: Hip circumference","Intervention: To promote health",3,-0.016,-0.114,0.082,1423,62.5,-0.04,"Mean difference"
"59588_002","physical health","Body composition: Waist circumference","Intervention: To promote health",7,0.067,0.014,0.121,3776,59.8,0.35,"Mean difference"
"52765_001","physical health","Eye health: Myopia","Screen use: General",3,0.054,-0.045,0.152,6773,89,1.77,"Odds ratio"
"52765_002","physical health","Eye health: Myopia","Screen use: General",3,0.054,-0.045,0.152,6773,89,2.01,"Odds ratio"
"52765_004","physical health","Eye health: Myopia","Screen use: General (phone or tablet)",3,0.054,-0.045,0.152,6773,89,1.26,"Odds ratio"
"52765_005","physical health","Eye health: Myopia","Screen use: General (phone or tablet)",3,0.054,-0.045,0.152,6773,89,1.37,"Odds ratio"
"47769_001","psychology","Cognition: Cognitive Functioning","Intervention: Cognitive training",68,0.205,0.135,0.276,3540,87.2,0.52,"Hedge's g"
"59227_004","psychology","Cognition: Cognitive Functioning","Screen use: General (mobile or tablet)",10,-0.066,-0.172,0.04,2001,79.7,-0.07,"correlation"
"60339_001","psychology","Cognition: Creativity","Screen use: General",165,0.275,0.22,0.331,18963,97.1,-999,"-999"
"60339_003","psychology","Cognition: Creativity","Screen use: General",60,0.199,0.126,0.272,3648,84.2,0.41,"Hedge's g"
"60339_004","psychology","Cognition: Creativity","Screen use: General",55,0.325,0.233,0.416,5377,97.2,0.96,"Hedge's g"
"60339_005","psychology","Cognition: Creativity","Screen use: General",46,0.285,0.155,0.415,9620,99,0.73,"Hedge's g"
"50837_001","psychology","Cognition: Executive functioning","Intervention: Cognitive training",57,0.128,0.08,0.176,2606,38,0.281,"Hedge's g"
"61458_001","psychology","Cognition: Information processing","Video games: General",56,0.106,0.058,0.153,5189,65.5,0.19,"d"
"61458_002","psychology","Cognition: Information processing","Video games: General",29,0.189,0.086,0.292,1230,76.3,0.4,"d"
"59227_001","psychology","Developmental: General","Screen use: General (mobile or tablet)",26,-0.085,-0.139,-0.031,9070,82.3,-0.08,"correlation"
"59227_006","psychology","Developmental: Language or speech","Screen use: General (mobile or tablet)",9,-0.088,-0.208,0.032,1811,82.1,-0.09,"correlation"
"59754_001","psychology","Learning: Cognition","Video games: Educational (with competition)",32,0.293,0.206,0.38,10619,91.8,-999,"Hedge's g"
"57223_002","psychology","Prosocial Behavior: General","Video games: Violent content",7,0.007,-0.097,0.111,3333,87.7,-999,"-999"
"59120_002","psychology","Psychological health: ADHD","Screen use: General",9,0.068,0.015,0.12,22235,92.1,0.07,"correlation"
"59120_004","psychology","Psychological health: ADHD Symptoms (Inattention)","Screen use: General",4,0.119,0.042,0.197,6395,90,0.12,"correlation"
"60704_002","psychology","Psychological health: Anxiety","Social Media: General (problematic use)",3,0.406,0.196,0.617,1802,96.3,-999,"-999"
"60496_003","psychology","Psychological health: Depression","Internet use: General",118,0.245,0.223,0.267,527696,98.5,-0.06,"Fisher’s z"
"60496_007","psychology","Psychological health: Depression","Internet use: General",13,0.148,0.087,0.208,17540,94,-0.02,"Fisher’s z"
"60496_001","psychology","Psychological health: Depression","Screen use: Online media",224,0.227,0.211,0.242,1207757,98.5,-999,"-999"
"60496_002","psychology","Psychological health: Depression","Screen use: Online media",33,0.15,0.115,0.186,52475,94.2,-999,"-999"
"60496_006","psychology","Psychological health: Depression","Screen use: Online media (mobile phone)",28,0.246,0.204,0.288,105958,97.4,-999,"-999"
"60496_010","psychology","Psychological health: Depression","Screen use: Online media (mobile phone)",3,0.124,0.078,0.17,5281,67.2,-999,"-999"
"53160_001","psychology","Psychological health: Depression","Social Media: General",12,0.122,0.054,0.19,93740,97.5,0.12,"Fisher's Z"
"60496_004","psychology","Psychological health: Depression","Social Media: General",33,0.184,0.152,0.216,61940,93.1,-999,"-999"
"60496_008","psychology","Psychological health: Depression","Social Media: General",11,0.17,0.13,0.211,13878,81.8,-999,"-999"
"61462_001","psychology","Psychological health: Depression","Social Media: General",11,0.131,0.053,0.21,16084,95.5,-999,"-999"
"57230_001","psychology","Psychological health: Depression","Social Media: General (duration)",9,0.059,-0.017,0.135,13856,92.3,0.02,"correlation"
"61492_001","psychology","Psychological health: Depression","Social Media: General (duration)",8,0.109,0.018,0.2,5273,87.6,-999,"-999"
"61492_002","psychology","Psychological health: Depression","Social Media: General (frequency)",4,0.159,0.09,0.227,1931,50,-999,"-999"
"57230_002","psychology","Psychological health: Depression","Social Media: General (intensity)",2,0.179,0.132,0.227,2232,26.2,-999,"Correlation"
"57230_003","psychology","Psychological health: Depression","Social Media: General (problematic use)",4,0.334,0.227,0.442,6327,94.4,-999,"Correlation"
"60496_005","psychology","Psychological health: Depression","Video games: Online",24,0.201,0.159,0.243,42235,94.4,-999,"-999"
"60496_009","psychology","Psychological health: Depression","Video games: Online",5,0.106,-0.014,0.226,13398,96.7,-999,"-999"
"59586_001","psychology","Psychological health: Emotion experience","Intervention: To improve emotional regulation",10,-0.064,-0.135,0.008,2476,41.2,-0.12,"Standardised mean difference"
"59586_003","psychology","Psychological health: Emotion regulation","Intervention: To improve emotional regulation",4,0.094,-0.02,0.208,1935,54.3,0.19,"Standardised mean difference"
"59211_001","psychology","Psychological health: Externalizing","Screen use: General",90,0.128,0.103,0.152,127057,94.2,0.11,"Correlation"
"59211_004","psychology","Psychological health: Externalizing","Screen use: General",9,0.122,0.093,0.151,5466,10.4,0.13,"Correlation"
"59211_005","psychology","Psychological health: Externalizing","Screen use: General",42,0.148,0.104,0.191,46519,94.7,0.11,"Correlation"
"57182_001","psychology","Psychological health: Fear of missing out","Social Media: General",14,0.389,0.297,0.481,15139,97.8,-999,"-999"
"53940_001","psychology","Psychological health: General","Screen use: General",28,0.057,0.038,0.075,232501,91.6,-999,"Correlation"
"53940_002","psychology","Psychological health: General","Screen use: General",3,0.058,-0.005,0.121,3754,67.9,-999,"Correlation"
"53940_003","psychology","Psychological health: General","Screen use: General",24,0.057,0.037,0.078,228377,93,-999,"Correlation"
"53940_004","psychology","Psychological health: General","Screen use: General",18,0.059,0.033,0.085,220282,95.4,-999,"Correlation"
"53940_005","psychology","Psychological health: General","Screen use: General",10,0.053,0.028,0.078,12219,46.4,-999,"Correlation"
"53940_006","psychology","Psychological health: General","Screen use: General",18,0.059,0.036,0.083,191975,92.9,-999,"Correlation"
"53940_007","psychology","Psychological health: General","Screen use: General",6,0.046,-0.007,0.1,34997,82.9,-999,"Correlation"
"53940_008","psychology","Psychological health: General","Screen use: General",4,0.061,0.02,0.103,5529,49.6,-999,"Correlation"
"61491_002","psychology","Psychological health: General","Social Media: General",12,0.081,0.008,0.153,5522,85,0.081,"r"
"59595_007","psychology","Psychological health: Ill-being","Screen use: General (media addiction)",4,0.454,0.182,0.727,4903,99.4,-999,"-999"
"59595_001","psychology","Psychological health: Ill-being","Social Media: General",4,0.192,-0.048,0.432,4227,98.5,-999,"-999"
"59211_006","psychology","Psychological health: Internalizing","Screen use: General",43,0.063,0.042,0.084,93914,87.2,0.07,"Correlation"
"59211_007","psychology","Psychological health: Internalizing","Screen use: General",4,-0.038,-0.252,0.176,1025,88.3,0.02,"Correlation"
"59211_008","psychology","Psychological health: Internalizing","Screen use: General",9,0.082,0.029,0.135,3724,56.9,0.09,"Correlation"
"60203_001","psychology","Psychological health: Loneliness","Video games: General",4,0.041,-0.002,0.084,2759,23,-999,"-999"
"52818_002","psychology","Psychological health: Negative coping style","Screen use: General (mobile phone addiction)",3,0.287,0.209,0.365,1964,69.1,0.31,"Correlation"
"61448_001","psychology","Psychological health: Other mental health problems","Social Media: Facebook (problematic use)",2,0.157,0.031,0.284,1158,74.7,-999,"-999"
"52818_001","psychology","Psychological health: Positive coping style","Screen use: General (mobile phone addiction)",4,-0.053,-0.152,0.045,2280,80.6,0.01,"Correlation"
"61491_001","psychology","Psychological health: Positive mental health","Social Media: General",7,0,-0.083,0.083,6617,89.8,0.005,"r"
"59227_002","psychology","Psychological health: Psychosocial factors","Screen use: General (mobile or tablet)",12,-0.078,-0.159,0.003,2888,77.4,-0.07,"correlation"
"52166_003","psychology","Psychological health: Satisfaction","Social Media: Instant messaging",1,-0.03,-0.086,0.026,1210,0,-0.03,"Attenuated correlation (uncorrected correlation)"
"59227_003","psychology","Psychological health: Self-regulation","Screen use: General (mobile or tablet)",5,-0.035,-0.18,0.111,1848,88.2,-0.03,"correlation"
"61480_002","psychology","Psychological health: Social capital (bonding)","Social Media: General",3,0.13,0.086,0.174,5042,50.9,-999,"-999"
"61480_001","psychology","Psychological health: Social capital (bridging)","Social Media: General",3,0.209,0.149,0.269,5042,74.5,-999,"-999"
"61448_002","psychology","Psychological health: well-being","Social Media: Facebook (problematic use)",3,-0.215,-0.258,-0.172,1891,0,-999,"-999"
"47429_001","psychology","Risky behavior: Risk taking (general)","Social Media: General",27,0.206,0.161,0.25,66407,97,0.21,"Weighted mean correlation coefficient"
