"effect_size_id","k","r","cilb","ciub","p","i2","n","sig999"
"57230_003",4,0.334348489972678,0.226698013121136,0.44199896682422,1.14762430099217e-09,94.4400035556517,6327,TRUE
"57313_001",122,-0.260318715310759,-0.315159475375324,-0.205477955246193,1.35796814339782e-20,75.1921178921126,3436,TRUE
"57313_002",88,-0.306074447436652,-0.364745838502109,-0.247403056371194,1.53770155381898e-24,69.7646596100342,2433,TRUE
"57313_003",34,-0.15014466663988,-0.268815586639439,-0.0314737466403197,0.013146233320267,80.2747566665279,1003,FALSE
"57313_004",73,-0.270224236622286,-0.344477279178503,-0.19597119406607,9.83698479100021e-13,77.5940644822893,1879,TRUE
"57313_005",21,-0.148685500440499,-0.239563760283099,-0.0578072405979003,0.00134272533819727,44.4634074051415,810,FALSE
"57313_006",16,-0.474290702747476,-0.598062064224084,-0.350519341270868,5.88732956034255e-14,68.5455658370119,399,TRUE
"57313_007",12,-0.113726308153674,-0.244474842759921,0.0170222264525732,0.0882326358061598,37.0168352443072,348,FALSE
"58322_001",26,-0.0240298537758079,-0.080598073704483,0.0325383661528671,0.405080850515161,0,1192,FALSE
"58322_002",18,0.135548601615342,0.0706692757465442,0.200427927484139,4.2246232124608e-05,0,871,TRUE
"59120_002",9,0.0676274133886124,0.0148795628396314,0.120375263937593,0.011976115511503,92.0604306032551,22235,FALSE
"59120_004",4,0.119244590422474,0.0416633568945977,0.19682582395035,0.00259087428294057,90.0070323350895,6395,FALSE
"59157_001",14,0.305841420446515,0.215490926813589,0.396191914079441,3.2541338375264e-11,17.2756773266503,472,TRUE
"59157_002",2,0.0389727770884792,-0.194926333608484,0.272871887785443,0.743990527444964,0,72,FALSE
"59157_003",11,0.33421549865918,0.237697374328853,0.430733622989507,1.14638631154598e-11,15.7319772467875,392,TRUE
"59157_004",5,0.15624587604738,-0.0842741916276889,0.396765943722449,0.202938024945547,73.1992512617583,214,FALSE
"59157_005",17,0.267114479259036,0.119374206697667,0.414854751820404,0.000394679991931947,82.6685706957555,556,TRUE
"59157_006",3,0.244405194328017,0.00069624003053162,0.488114148625502,0.0493490759598018,49.428419169503,112,FALSE
"59157_007",13,0.301862595451958,0.124368188703609,0.479357002200308,0.000858263303654458,85.1235507230657,418,TRUE
"59207_001",32,0.106848060524979,0.0535177716170609,0.160178349432898,8.60769835570823e-05,70.6590076522477,5764,TRUE
"59207_002",26,0.0933726243666654,0.0340974392440707,0.15264780948926,0.00201906820305476,53.661207433266,2520,FALSE
"59207_003",6,0.14930727608877,0.0225067618550082,0.276107790322532,0.021007341752621,90.6350720554807,3167,FALSE
"59207_004",32,0.107890787391335,0.054264773443755,0.161516801338914,8.0376790690797e-05,70.3663769482889,5687,TRUE
"59207_006",23,0.080149760056679,0.0188733857028923,0.141426134410466,0.0103580534443935,69.8320921587917,4758,FALSE
"59207_007",9,0.17663823383415,0.0793096169069448,0.273966850761356,0.000375016111376784,59.7567504532555,929,TRUE
"59207_015",10,0.207105182495675,0.0880175320374853,0.326192832953865,0.000653041151386706,93.2894052141477,4132,TRUE
"59207_016",6,0.235547443180559,0.036767179574486,0.434327706786632,0.020206747309247,94.2318271893178,1682,FALSE
"59207_017",4,0.14350423637377,0.104104894189246,0.182903578558294,9.41646569322832e-13,0.0169800333565155,2370,TRUE
"59207_018",9,0.143073833786907,0.0804263010222177,0.205721366551596,7.60021905574016e-06,72.0944584328772,3984,TRUE
"59207_019",1,0.675056185208989,0.544725000433238,0.80538736998474,3.25571099129318e-24,0,68,TRUE
"59207_020",6,0.211791275977705,0.0119255833321583,0.411656968623251,0.0378097661938151,95.5539510474897,2267,FALSE
"59207_021",4,0.187508487971595,0.1048726226616,0.270144353281589,8.69397111343371e-06,63.6215462102147,1785,TRUE
"59211_001",90,0.127930138375029,0.103374651681815,0.152485625068243,1.76853364383341e-24,94.15002679052,127057,TRUE
"59211_004",9,0.122052335888412,0.0932459163081455,0.150858755468678,1.0037934465863e-16,10.353181718059,5466,TRUE
"59211_005",42,0.147519953739861,0.103856988283075,0.191182919196646,3.54500741284504e-11,94.6568655037988,46519,TRUE
"59211_006",43,0.0631648117660792,0.0419813813353079,0.0843482421968505,5.08928780167599e-09,87.2144655322772,93914,TRUE
"59211_007",4,-0.0377896769624569,-0.251598173313466,0.176018819388552,0.729031080243857,88.2692155293513,1025,FALSE
"59211_008",9,0.0822749099690273,0.029321221236387,0.135228598701668,0.00232506829371656,56.9474578898688,3724,FALSE
"59227_001",26,-0.0853726072311902,-0.139420787870692,-0.0313244265916882,0.00196222974990494,82.2802618008155,9070,FALSE
