pref,rule,comm,rev,nsubj,file,period,subj,group,type,sample,action,groupdec,jar,payoff,time
het,5,1,0,18,HET_5_18_chat.txt,10,6,1,1,2,1,1,1,150,19
het,5,1,0,18,HET_5_18_chat.txt,10,3,1,2,2,1,1,1,50,14
het,5,1,0,18,HET_5_18_chat.txt,10,13,1,1,1,1,1,1,150,22
het,5,1,0,18,HET_5_18_chat.txt,10,17,1,1,1,1,1,1,150,18
het,5,1,0,18,HET_5_18_chat.txt,10,8,1,1,1,1,1,1,150,20
het,5,1,0,18,HET_5_18_chat.txt,10,11,1,1,1,1,1,1,150,22
het,5,1,0,18,HET_5_18_chat.txt,10,2,1,2,1,1,1,1,50,22
het,5,1,0,18,HET_5_18_chat.txt,10,16,1,2,1,1,1,1,50,22
het,5,1,0,18,HET_5_18_chat.txt,10,12,2,2,2,2,2,2,150,30
het,5,1,0,18,HET_5_18_chat.txt,10,14,2,1,2,2,2,2,50,17
het,5,1,0,18,HET_5_18_chat.txt,10,7,2,2,2,2,2,2,150,19
het,5,1,0,18,HET_5_18_chat.txt,10,1,2,2,1,2,2,2,150,15
het,5,1,0,18,HET_5_18_chat.txt,10,4,2,2,2,2,2,2,150,25
het,5,1,0,18,HET_5_18_chat.txt,10,10,2,1,2,2,2,2,50,18
het,5,1,0,18,HET_5_18_chat.txt,10,15,2,2,2,2,2,2,150,19
het,5,1,0,18,HET_5_18_chat.txt,10,9,2,2,1,1,2,2,150,39
het,5,1,0,18,HET_5_18_chat.txt,10,18,2,2,1,2,2,2,150,14
het,5,1,0,18,HET_5_18_chat.txt,11,8,1,2,1,1,1,1,50,13
het,5,1,0,18,HET_5_18_chat.txt,11,1,1,1,1,1,1,1,150,13
het,5,1,0,18,HET_5_18_chat.txt,11,14,1,1,1,1,1,1,150,13
het,5,1,0,18,HET_5_18_chat.txt,11,2,1,1,2,1,1,1,150,16
het,5,1,0,18,HET_5_18_chat.txt,11,5,1,1,1,1,1,1,150,15
het,5,1,0,18,HET_5_18_chat.txt,11,6,1,2,1,1,1,1,50,22
het,5,1,0,18,HET_5_18_chat.txt,11,18,1,1,1,1,1,1,150,11
het,5,1,0,18,HET_5_18_chat.txt,11,9,1,2,1,1,1,1,50,20
